duration,unit,partner,geo,time\isced11	TOTAL 	ED0-2 	ED3_4 	ED5-8 
N_GE1,NR,DOM,BE,2016	393989 	: 	: 	: 
N_GE1,NR,DOM,BE,2017	630985 b	: 	: 	: 
N_GE1,NR,DOM,BG,2012	1012968 	: 	: 	: 
N_GE1,NR,DOM,BG,2013	1196931 	: 	: 	: 
N_GE1,NR,DOM,BG,2014	1430774 	: 	: 	: 
N_GE1,NR,DOM,BG,2015	1535770 	: 	: 	: 
N_GE1,NR,DOM,BG,2016	1622484 	: 	: 	: 
N_GE1,NR,DOM,BG,2017	1821030 	: 	: 	: 
N_GE1,NR,DOM,CH,2012	816571 	: 	: 	: 
N_GE1,NR,DOM,CH,2013	672216 	: 	: 	: 
N_GE1,NR,DOM,CH,2014	649558 	: 	: 	: 
N_GE1,NR,DOM,CH,2015	673061 	: 	: 	: 
N_GE1,NR,DOM,CH,2016	629662 	: 	: 	: 
N_GE1,NR,DOM,CY,2012	203007 e	: 	: 	: 
N_GE1,NR,DOM,CY,2013	188796 e	: 	: 	: 
N_GE1,NR,DOM,CY,2014	159756 e	: 	: 	: 
N_GE1,NR,DOM,CY,2015	191306 e	: 	: 	: 
N_GE1,NR,DOM,CY,2016	173084 e	: 	: 	: 
N_GE1,NR,DOM,CY,2017	170162 e	: 	: 	: 
N_GE1,NR,DOM,CZ,2012	3177297 	: 	: 	: 
N_GE1,NR,DOM,CZ,2013	3152748 	: 	: 	: 
N_GE1,NR,DOM,CZ,2014	3806839 	: 	: 	: 
N_GE1,NR,DOM,CZ,2015	3621755 	: 	: 	: 
N_GE1,NR,DOM,CZ,2016	3624574 	: 	: 	: 
N_GE1,NR,DOM,CZ,2017	3460806 	: 	: 	: 
N_GE1,NR,DOM,DE,2012	17587516 	: 	: 	: 
N_GE1,NR,DOM,DE,2013	16487916 	: 	: 	: 
N_GE1,NR,DOM,DE,2014	16070924 	: 	: 	: 
N_GE1,NR,DOM,DE,2015	16570030 	: 	: 	: 
