unit,purpose,duration,partner,accommod,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
THS_EUR,PERS,N1-3,DOM,TOTAL,FI	496496.43 	460796.33 	447319.43 	442173.86 	484370.46 	503832.81 
THS_EUR,PERS,N1-3,DOM,TOTAL,FR	2619015.64 	2000879.88 	1892693.04 	2031301.81 	1928468.52 	1926024.1 
THS_EUR,PERS,N1-3,DOM,TOTAL,HR	27868.23 	: 	20014.86 	31180.53 	38413.88 	38006.99 
THS_EUR,PERS,N1-3,DOM,TOTAL,HU	249954.2 	197650.22 	180351.93 	159927.62 	124650.67 	143749.4 
THS_EUR,PERS,N1-3,DOM,TOTAL,IE	404022.26 	360577.5 	325777.23 	272678.94 	258071.63 	254374.22 
THS_EUR,PERS,N1-3,DOM,TOTAL,IT	1147255.49 	1278199.7 	1019325.71 	836578.57 b	841739.97 	1092710.58 
THS_EUR,PERS,N1-3,DOM,TOTAL,LT	50364.43 	43459.3 	35737.51 	26863.79 	18424.77 	23541.77 
THS_EUR,PERS,N1-3,DOM,TOTAL,LU	: 	628.78 u	1074.59 u	1355.5 	1343.84 	1039.02 
THS_EUR,PERS,N1-3,DOM,TOTAL,LV	: 	8286.69 	8023.76 	10247.07 	10626.03 	7567.61 
THS_EUR,PERS,N1-3,DOM,TOTAL,MT	10469.23 	9577.69 	8133 	8429.32 b	5880.29 	9513.32 
THS_EUR,PERS,N1-3,DOM,TOTAL,NL	: 	510255.86 	448326.36 	385625.9 	423368.44 	453679.64 
THS_EUR,PERS,N1-3,DOM,TOTAL,NO	476235.28 	381006.15 	353509.32 	402241.74 	338094.15 	: 
THS_EUR,PERS,N1-3,DOM,TOTAL,PL	407852.98 	335309.66 	285490.52 	202607.24 b	638073.71 	609831.44 
THS_EUR,PERS,N1-3,DOM,TOTAL,PT	92438.1 	74720.58 	83292.48 	64121.89 	39706.01 	54050.39 
THS_EUR,PERS,N1-3,DOM,TOTAL,RO	113991.71 	109816.75 	93797.48 	80493.4 	72443.67 	67819.47 
