accommod,unit,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
BEDPL,PC,LT0	40.8 	39 	36.8 	37.1 	36.8 	35 
BEDPL,PC,LT00	: 	39 	36.8 	37.1 	36.8 	35 
BEDPL,PC,LT01	49.6 	: 	: 	: 	: 	: 
BEDPL,PC,LT02	36.4 	: 	: 	: 	: 	: 
BEDPL,PC,LU	31.28 	33.19 	39.35 	35.1 	31.8 	30.6 
BEDPL,PC,LU0	31.28 	33.19 	39.35 	35.1 	31.8 	30.6 
BEDPL,PC,LU00	31.28 	33.19 	39.35 	35.1 	31.8 	30.6 
BEDPL,PC,LV	39.61 	37 	36.3 	39.8 	35.9 	35.8 
BEDPL,PC,LV0	39.61 	37 	36.3 	39.8 	35.9 	35.8 
BEDPL,PC,LV00	39.61 	37 	36.3 	39.8 	35.9 	35.8 
BEDPL,PC,ME	: 	33.7 	35.2 	: 	: 	30 
BEDPL,PC,ME0	: 	33.7 	35.2 	: 	: 	30 
BEDPL,PC,ME00	: 	33.7 	35.2 	: 	: 	30 
BEDPL,PC,MK	24.3 	22 	22.99 	22.5 	34.3 	: 
BEDPL,PC,MK0	24.3 	22 	22.99 	22.5 	34.3 	: 
BEDPL,PC,MK00	24.3 	22 	22.99 	22.5 	34.3 	: 
BEDPL,PC,MT	66.4 	64.4 	64.3 	63.8 	60.5 	57.6 
BEDPL,PC,MT0	66.4 	64.4 	64.3 	63.8 	60.5 	57.6 
BEDPL,PC,MT00	66.4 	64.4 	64.3 	63.8 	60.5 	57.6 
BEDPL,PC,NL	50.4 	47.6 	45.6 	44.2 	42.8 	42.3 
BEDPL,PC,NL1	38.7 	39 	34.6 	35.8 	34.5 	35.1 
BEDPL,PC,NL11	33.7 	40 	36.7 	32.9 	32.1 	35.3 
BEDPL,PC,NL12	40.5 	37.1 	34.1 	35.6 	33.2 	33.7 
BEDPL,PC,NL13	40.7 	42 	33.9 	39.2 	39 	37.7 
BEDPL,PC,NL2	45.3 	43.2 	39 	35.5 	36.9 	38.6 
BEDPL,PC,NL21	47.4 	45.9 	36.2 	31.7 	37.8 	38.1 
BEDPL,PC,NL22	43.9 	42 	40.2 	37 	36.4 	39.5 
BEDPL,PC,NL23	49.1 	41.1 	41.2 	38.7 	38.7 	32 
BEDPL,PC,NL3	55.1 	51.8 	50.6 	49.4 	47.3 	46.3 
BEDPL,PC,NL31	46.3 	41.7 	42.2 	37.4 	39.1 	37.5 
BEDPL,PC,NL32	59.3 	56.1 	55.2 	55.1 	52.7 	52.1 
BEDPL,PC,NL33	48.7 	45.4 	44.2 	41.4 	39.8 	38.5 
BEDPL,PC,NL34	46.7 	46.4 	41.8 	42.1 	38.1 	39 
BEDPL,PC,NL4	43.1 	40 	39.2 	37.1 	36.4 	36.4 
BEDPL,PC,NL41	42.1 	39.4 	36.9 	35.2 	35.2 	34.6 
