unit,purpose,duration,partner,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 
NR,PERS,N_GE1,DOM,HU	11872352 	11778710 	12300783 	12258070 	11608394 	13990742 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,DOM,IE	7150319 	6828674 	6522160 	5631843 	5534741 	5500359 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3178000 	3138000 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,DOM,IT	40828133 	42018881 	35319955 	37222958 b	36476703 	43131050 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,DOM,LT	2204722 	2217373 	2321616 	2316241 	2271439 	2204661 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,DOM,LU	: 	17905 u	20128 	25440 	52594 	43172 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10000 	13000 	14000 	: 	: 	: 	: 
NR,PERS,N_GE1,DOM,LV	: 	3018022 	2885025 	3172774 	3014573 	3635701 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,DOM,MT	253037 	234919 	200523 	195981 b	184940 	200378 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,DOM,NL	22882228 	23476507 	23190661 	23930647 	24795926 	27526206 b	: 	: 	: 	: 	: 	14096000 	13579000 	14133000 	14289000 	14581000 	13715000 	13388000 	13019000 	12700000 	: 	: 	: 	: 
NR,PERS,N_GE1,DOM,NO	11390699 	10819903 	10692386 	11665409 	9600572 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,DOM,PL	44283457 	42136806 	38594696 	37125204 b	38986942 	38586107 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
